activity_at_injury_unique,injury_mechanism_unique,object_involved_unique
"['cleaning his room', 'cheerleading practice']",abducted finger,10 lb weights
"['cleaning', 'mechanical fall']",abduction,10 lbs weight
"['drinking whiskey', 'multiple falls']",abr,10 mg melatonin *** thc
"['driving', 'decorating christmas tree']",abraded,10 mg oxycodone tablet
"['driving', 'falling']",abrading,10 point weight
"['dropped toilet seat on foot', 'stepped on woodchip', 'child jumped on foot']",abrased,10 pound bag
['falling off bed'],abrasion,10 pound metal pipe
['fell down stairs'],abrasions,10 pound weight
"['fell out of bed', 'jumped on a trampoline']",abrupt stop,10 pound weight plate
"['getting out of a pool', 'hit her head on a metal pole']",abstripped,10 speed
['getting out of the car'],accelerated,10 steps
"['hitting it on a part of his bicycle', 'pulled something out of a bag']",accelerated then slowed,10 wall
"['holding rocks', 'fell down the stairs']",accid drinking,10 weight
"['jumping on trampoline', 'fell out of bed']",accident,100 lb bag
"['kicking a soccer ball', 'lifting furniture to vacuum under it']",accidental chemical exposure,100 lb dumbbell
"['missing a step', 'lit a firecracker']",accidental discharge,100 lb round of wood
"['mowing her lawn', 'stepping backwards off a ladder']",accidental drug ingestion,100 lb speaker
"['opening plastic vitamin bottle', 'un screwing water filter']",accidental drug overdose,100 lb weight
"['playing basketball', 'falling off the roof']",accidental exposure,100 lb weights
"['playing basketball', 'ingesting 2 *** and smoking marijuana']",accidental ingestion,100 lb wt
"['playing basketball', 'walking down the steps']",accidental injury,100 mg pill
"['playing', 'wrestling']",accidental medication administration,100 mg tablet
['putting arm in oven'],accidental od,100 pound box
"['recess', 'playing']",accidental overdose,100 pound cart
"['riding 4 wheeler', 'being hit with baseball bat', 'falling in bathtub']",accidental poisoning,100 pound railing
"['riding 4 wheeler', 'falling down stairs']",accidental shooting,1000mg *** tabs
"['riding a scooter', 'wearing wedge shoes']",accidentally,100lb cabinet
"['riding bike', 'falling down stairs']",accidentally closed,100lb propane tank
"['riding bike', 'playing soccer']",accidentally did it herself,100lb weight
"['riding dirt bike', 'falling off couch']",accidentally discharged,100lbs of heavy box
"['running at a bbq', 'getting into bathtub']",accidentally fired,100mg *** tablet
"['running up stairs', 'playing football']",accidentally given,100mg capsule of gabapentin
['shopping'],accidentally injured,100mg metoprolol
['sleep'],accidentally opend,100mg metoprolol tablet
"['sleeping in crib', 'standing holding a toy']",accidentally put ear plugs in nose,100mg phenytoin
"['slipped in bathroom', 'tried to sit in recliner']",accidentally sprayed,100mg pill
"['slipped on ice', 'stepped out of the bath and slipped']",accidentally used alcohol,100mg tablet
"['slipped', 'tripped over laundry basket']",ache,10ft diving board
"['swimming', 'fell from skateboard']",achilles rupture,10ft fence with barbed wire
"['swimming', 'playing soccer']",aching,10ft height ladder
"['taking a bath', 'fell off bed']",acid exposure,10ft ladder
['taking cake out of oven'],acute onset of pain,10ft railing
"['tripped over computer', 'slipped down 2 steps']",adjusting,10ft slide
['tripped'],adjusting position,10fth ladder
['walking'],adverse drug rxn,"10fth ladder, metal rack"
"['wrestling with his dog', 'rough housing with girlfriend']",adverse effects,10lb bag
a basketball game,adverse reaction,10lb bag of rice
a dare on a bet,aerosolized and exposed to fumes,10lb box
a day at the trampoline park,against,10lb bucket
a door was opened over her foot,aggravated,10lb dumbbell
a game,aggravating injury,10lb hammer
a gym for a party,aggravation,10lb kettlebell
a parade,aicd battery failure,10lb weight
a run,aicd firing,10lb weights
aaa repair,air insufflation,10lb wt
aat school,airbag exploded,10lbs pipe
ab wheel rollout exercise,airplane crash,10lbs weight
abdominal crunches,alc,10mg amlodipine pill
abdominal workout,alcohol intoxication,10mg baby aspirin and 200mg dx
abdominal workout exercise,alcohol use,10mg of ***
abduction exercises,allergic contact dermatitis,10mg of gmas diazepam
about 20 feet up on a ladder,allergic dermatitis,10mg of his grandpa's amplodipine
about 78 ft high on a ladder,allergic rash,10mg pill
about to begin ot session,allergic reaction,10mg pills
about to fall down stairs,allergic rxn,10mg tablets
about to fall down the stairs,allergy,10mg tabs
about to fall off of a ladder,altercation,10pound weight
about to get in shower,amb,10yearold male
about to sit down on a park bench,ambulate,110 cc child sz quad
about to sit down on a stool,ambulating,110 v outlet
about to sit on toilet,amp,110lb package
about to take shower,amputated,110mg glipiizide extended release pill
abulating with walker,amputating,1125 inch washer
abuse of air duster,amputation,115 pounds
abusing amphetamine,anaphylactic reaction,12 foot inflatable
abusing fentanyl,anaphylactic rxn,12 foot ladder
abusing flakka,anaphylaxis,12 foot loft platform
abusing marijuana,angled knee awkwardly,12 ft gate
acc pu a hot pot off of the stove,animal bite,12 ft ladder
accelerated to go around a curve,ankel popped,12 inch chain necklace
accelerating a fire with gasoline,ankle gave out,12 pack of pop
accessed a foil that had previously contained heroin and possibly fentanyl,ankle give out,12 pack of soda pop
accessing attic,ankle injury,12 pound weight
accessing grandma's pill minder,ankle inversion,12 wood steps
accident on the diving board,ankle inversion injury,"12"" knife"
accidental fall,ankle inverted,120 pound dog
accidental ingestion,ankle roll,121 v dc car battery
accidentally closed door on finger,ankle rolled,125 cc dirt bike
accidentally punched wall,ankle rolled outwards,125mg *** pill carvedilol
accidentally shooting himself,anklerolled,12ft ladder
accidentally shooting self,ankleturned,12fth ladder
accidentally shot self,another boy landed on him,12lb exercise ball
accidentally tumbled down the steps,another cheerleader on shoulders,12lb medicine ball
accidently sprayed pepper spray into mouth,another cheerleader stood on shoulders,12lb weight
accompanying mom while she was at hospital,another child sat on hand,12pack box of soda
acted out and cut his left wrist,another child's knee went into his thigh,12pk of beer carton
acting aggressive and throwing himself against the wall,another player came down on pt's shoulder,12pk of soda
acting aggressive toward staff,another player came down on pts ankle,12v battery
acting class,another player grabbed l arm,13 ft ladder
acting erratic and banging his head against car door and precinct wall,another player knee hit,130 lbs
acting funny at home,another player landed,13ft ladder
acting in drama class,another player landed on him,13fth ladder
acting intoxicated and falling,another player landed on it,14 foot ladder
acting out,another player landed on top,14 foot landing
acting out and threw self from chair,another player landed on top of pt,145lbs
acting out at school,another player lift,14ft ladder
acting violently,another player slid into,14fth platform
active in gym glss,another player slid into her,15 brick steps
active in gymnastics,another player slid into his leg,15 foot ladder
active in pe class at school,another player slid into leg,15 foot wall
active in the gym,another player step on hand,15 inch phillips head drill bit
active on exercise bike,another player stepped,15 lb weight
actively sucking on pacifier,another player stepped on his foot and he inverted affected ankle,15 pound bag of trash
actively training for bike race,another player's helmet went into his leg,15 pound barrel and cement wall
activities involving trampoline,another players helmet hit,15 pound cardboard box
activity in pe class,another players teeth,15 pound dumbbell
added gasoline to fire,anoxia,15 pound puppet
added oil,ant bites,15 pound weight
adding antifreeze to overheated car,applied a cock ring,15 weight
adding antifreeze to truck,applied a drop in eye,150 lb vase
adding charcoal lighter to charcoal bbq fire,applied chemical,150 mg tablet
adding flavor to candy mixture over the stove,applying bleach,150 pound metal artwork structure
adding gas to a fire,applying emergency brake,150lb barbell
adding gas to pressure washer,applying gel manicure,150lb chair
adding gasoline to a fire,applying kerosene,150lb steel bar
adding isopropyl alcohol to a bonfire,applying paint,150mg *** pill
adding uphill walking to his gym regimen,applying sunscreen,1520 lb bag
adding weight to kettle bells,applying weight,15ft bed
addressing christmas cards,arm pop out,15ft ladder
adj self on the bed,arm popped,15ft play structure
adjust ceiling fan speed,arm slipped,15fth ladder
adjusted grass shoot on lawn mower,arm stuck,15lb bowling ball
adjusting,arm twisted,15lb dumbbell
adjusting a baby gate on steps,arm wrestling,15lb free weight
adjusting a basketball hoop pole,asbestos exposure,15lb object
adjusting a blanket,ascending in nature,15lb weight
adjusting a broken window,ascending rapidly,15mg capsule
adjusting a candle,ash in eye,15mg tablet
adjusting a ceiling fan,asphyxiation,15mg tablets
adjusting a clock,aspirated,16 oz can of food
adjusting a cord,aspiration,160 mg tablets and 25 mg containers
adjusting a fan,asplinter,160 weight
adjusting a lightbulb,assault,160 wt
adjusting a recliner,assaulted,160mg tablet
adjusting a rug,assembling,165 lbs
adjusting a window shade,assisting,16ft ladder
adjusting ac,asthma attack,16oz can of beer
adjusting an air freshener,asthma exacerbation,170lb cart
adjusting an incline chair at the gym,ate,175lb shelf
adjusting and sealing a new garage door,ate food,177 cal high powered pellet rifle
adjusting bench,ate through,18 pound bag of dog food
adjusting bike handles,athletic pivot,18 wheeler
adjusting blade on knife,attached,"18 wheeler, curb, power line pole, fence, tree"
adjusting blade on running lawn mower,attack from cat,180 lb weight
adjusting blinds,attacked,180 lbs
"adjusting blinds, stepping around planter",attacked by bees,185 lbs
adjusting carpet,attacked by dog,1851lb weight
adjusting ceiling fan,"attacked by dog, fell",190 lbs
adjusting chair,attackle,190lb weight
adjusting curtains,attempted a cartwheel,1ft concrete bench
adjusting glucometer,attempted a flip,1inch nail
adjusting hat,attempted back flip,1mg kids melatonin gummies
adjusting heater,attempted hand spring,1mg melatonin gummies
adjusting height of mower,attempted removal,1mg tablets of clonidine
adjusting her blinds,attempted to catch,1st base player
adjusting her chair,attempted to drain,1st baseman's foot
adjusting her curtain rod,attempted to drain finger,1st floor window
adjusting her hearing aids,attempted to repierce,1st story window
adjusting her hijab,attempting to catch another girl,2 24 packs of water
adjusting her jacket,atv accident,2 cans
adjusting her mattress,atv crash,2 cans of duster spray
adjusting her washer,atv flipped,2 cases
adjusting his car jack,atv roll over,2 cases of water
adjusting his chair,atv rollover,2 cycle oil
adjusting his foley bag,atv turned over,2 ft structure
adjusting his foley cath,atv went over on its side,2 ft wall
adjusting his pool pump,atv wreck,"2 ft wall, concrete stairs"
adjusting his watch,auto versus bicycle,2 gallon bucket or 2 gallon container
adjusting home oxygen,auto vs bicycle,2 gallons of ice tea
adjusting in bed,automobile collision,2 inch nail
adjusting it,automobile verse bicycle,2 lb box
adjusting o2,autoversusbicycle accident,2 lb weights
adjusting pants,avoiding collision,2 liter bottle
adjusting patient position in a chair,avoiding hitting a vehicle,2 liter bottle of soda
adjusting picture,avulsed,2 liter of pop
adjusting pillow,avulsing,2 liter of soda
adjusting pillows on bed,avulsion,2 liter soda bottle
adjusting position on toilet seat,avulsion fracture,2 other players
adjusting satellite dish,avulsion fx,2 players
adjusting seat on wheelchair,awkward movement,2 pound weight
adjusting self on couch,awkward position,2 prong bbq fork
adjusting self on the bed,awkward step,2 step ladder
adjusting shoe,awkward swing,"2 step ladder, fridge, floor"
adjusting shoes,back flip,2 step step ladder
adjusting sock,back gave out,2 storey window
adjusting the bedspread,back hand spring,2 story balcony
adjusting the blinds,back handspring,"2 story building, railing"
adjusting the car seat,back locked up,2 story floor window
adjusting the chain with foot,back pain,2 story window
adjusting the curtains,back pop,2 trees mailbox
adjusting the sheets on the bed,back popped,2 way saw
adjusting the shower nozzle,back spasm,20 box tv
adjusting the tension of the springs on his automatic garage door,back spasms,20 foot balcony
adjusting the wheels on his lawnmower,back strain,20 foot ladder
adjusting tow straps,back stretch,20 ft ext ladder
adjusting tv,back went out,20 ft ladder
adjusting tv antenna and coming down ladder,backd into,20 lb dumbbell
adjusting valve on kitchen torch,backed into,20 lb dumbbells
adjusting weight rack,backed onto,20 lb metal object
administering medication,backed over,20 lb weight
admitting hydraulic lift into tractor,backed up,20 lb weights
adult cheerleading,backed up into,20 lb wt
aerobic class,backfired,"20 lbs bag of cat litter, basement steps"
aerobic exercise on the treadmill and elliptical,backflip,20 lbs weight
aerobic workout,backflipped,20 mg ***
aerobics class,backing into,20 ounce bottle of pop
aft school,backing up,20 oz bottle of water
after care program,backstrain,20 pound box
after school program,backward fall,20 pound dumbbell
after work,bacteria in toe,20 pound weight
afterschool program,bagged,20 pound weights
aggression at group home,bailed out,20 ton floor jack and car
aggression/combativeness with staff,balancing,20 weight
aggressive behavior,ball bend thumb back,200 lb man
aggressive workout,ball bounced,200 lbs
aggressively cleaning ear w wash cloth,ball came down on hand,200 pound box of fireworks
aggressively exercising,ball flew onto wrist,200 pound cabinet
agitating and banging head on floor,ball hit finger,200 pound platform
agitation aggression,ball impacted,200 pound weights
agitation period of his demented wife,ball landed on finger,200 pounds
aiming to kick an object,ball landed on knee,200 weight
air boxing,ball to upper lip,200lb barn door
airing up a tire on a dolly,banding head,200lb basketball hoop
airing up a wheelbarrow tire,baned,200lb guy
alcohol intake,bang,200lb individual
alcohol use,bang foot,200lb mechanics toolbox
alcohol use and fall onto lamp,bang head,200lb piano
allowing her picture to be taken,bang head against wall,200lb squats
almost fall down stairs,bang her head,200lb turtle tank
almost falling from inversion gym,bang his head,200lb weight
almost falling off toilet,banged,200lbs
almost fell from swing,banged arm,200lbs wrestler
almost fell out of bed,banged head,200mg *** pill
almost fell out of stroller,banged heads,200mg *** tablets
almost stepped on her cat,banged knee,2030 pound bag of cat litter
alone at home,banged knees,2040 weight
alone in family kitchen,bangging head,20ft balcony
altercation,banging,20ft border fence
altercation at school,banging head,20ft structure
altercation at the airport,bangnig head,20fth ladder
altercation w brother,bangs head,"20gal fish tank, counter"
altercation with a family member,bar dropped,20lb dumbbell
altercation with a student,bare knuckle boxing,20lb floor mat roll
altercation with brother,barotrauma,20lb weight
altercation with girlfriend,barrelrolled down stairs,20lbs backpack
altercation with sister,baseball injury,20mg and 5mg tablets
amateur rock climbing,baseball to face,22 caliber gun
amb,basketball injury,22 caliber hand gun
amb c cane,bat bite,22 tube tv
amb c her walker,bat hit,220 gentleman
amb c her walker down to kitchen floor,batted,220 lbs weights
amb c rollerwalker,bb causing glass window to shatter,220lb bar
amb c the walker,beating head,225 bar bell
amb c walker,beating head against wall,225 lb dumbbell
amb c walker in the hallway,became dizzy and fell,225 lbs
amb c walker landing,became stuck,225 lbs weight
amb in br,became violent,225 lbs weights
amb in her bathroom w walker,became weak,225lbs weight
amb in her room,bed bug bites,225mg *** pill
amb in the dark,bedbug bite,23 ft wall
amb in the garage,bedbug bites,23 inch nail
amb to carpeted floor,bee sting,230lb treadmill
amb to the bathroom,bee stings,"23ft bed, hardwood floor"
amb to the br using the cane,being checked,23mg *** pill
amb to the kitchen,being dragged,24 case of bottled water
amb up stairs,being elbowed,24 case of water
amb with her walker,being held in air,24 case of water bottles
amb with walker,being hit,24 pack cans
amb with walker at home,being hit in the head,24 pack of soda
amb with walker at nursing home,being hit on head,24 pack of water
amb with walker when lost balance,being injured,24 pak water bottles
amb wo his walker,being lifted,24 water bottle pack
amb wo the walker,being moved,"24"" tv"
amb wo walker,being placed,240 lbs
amb ytd,being set on top of,240 mg ditiazem xl tablet
ambdl,being side blocked,245lb weights
ambfell,being swung,25 bag
ambfell against her walker,being swung by arms,25 free wt
ambulat,being tackled,25 ft balcony
ambulate,being thrown,25 ft deck
ambulate around her bed without her walker,belly flop,25 ft high bed
ambulate around house,belly flopped,25 ft ladder
ambulate back inside his home,belt broke,25 lb bag potting soil; porch
ambulate from her recliner,bend,25 lb box
ambulate from his chair,bend back,25 lb dumbbell
ambulate in house,bend backwards,25 lb free weight
ambulate to the bathroom,bend down,25 lb weight
ambulate up basement steps,bend finger backwards,25 lb weight dumbbell
ambulate with cane/walker,bend over,25 lbs weight
ambulate with her walker,bending,25 mg *** tablet
ambulated after pt sts lights were out in the dark,bending and lifting,25 mg500mg glipizide metgormin pill
ambulated to her kitchen,bending and picking something up,25 pound fish
ambulated to restroom,bending and skating,25 pound weight
ambulates with a cane,bending and twisting,25 pound weight plate
ambulates with cane versus walker,bending ankle backwards,25 weight
ambulates with walker,bending backward,25 wgt
ambulates with walker to bathroom,bending down,25 wt plate
ambulating,bending finger backwards,250 lb man
ambulating around bed,bending fingers,250 lb weights
ambulating around corner,bending foot,250 lbs
ambulating at home,bending knee,250 pounds
ambulating at the supermarket,bending nail,250 tv
ambulating back to bed after using the bathroom,bending neck,250lb bench press bar
ambulating down a flight of stairs,bending over,250mg soft capsules
ambulating down a ramp with his walker to smoke a cigarette,bending over and lifting,25cm magnet
ambulating down hall with crutches,bending over lifting,25ft landing
ambulating down handicap ramp,bending wrist,25ft wall
ambulating down icy stairs,bent,25lb bag
ambulating down ramp,bent and flew,25lb bag of cat food
ambulating down stairs,bent and stood up,25lb bag of fertilizer
ambulating down the steps,bent and twisted,25lb bag of potting soil
ambulating from bathroom to chair,bent arm,25lb box
ambulating holding railing,bent awkwardly,25lb dumbbell
ambulating in bathroom with walker,bent back,25lb dumbbells
ambulating in dark,bent backward,25lb plate
ambulating in her apartment,bent backwards,25lb weight
ambulating in her house,bent backwards and crushed,25lbs ankle weights
ambulating in her kitchen with walker,bent down,25lbs weight
ambulating in his driveway looking at his phone,bent down and pushing off,25mg *** and 1000mg ***
ambulating in kitchen,bent down to lift,25mg amlodipine
ambulating in mall,bent elbow,25mg meclizine
ambulating in slippers,bent finger,25mg metoprolol
ambulating in the kitchen,bent finger backward,25mg pill
ambulating on her deck,bent finger backwards,25mg pills
ambulating on steps,bent finger nail,26 2mg tabs of ***
ambulating out of a walk in bathtub,bent fingers,260lb weight
ambulating out of house,bent fingers backwards,27 inch box television
ambulating outside,bent foot,275 lb weight
ambulating to bathroom,bent foot backward,275 pounds
ambulating to bathroom using the walker,bent forward,275 weight
ambulating to bathroom with walker,bent hand,280 pounds
ambulating to commode,bent hand back,29 gallon fish tank
ambulating to fridge,bent hand backwards,290 pound barbell weight
ambulating to the bathroom,bent head,2aa batteries
ambulating to the bathroom with walker,bent inward,2cm bar
ambulating to the bed from the restroom,bent inwards,2cm finishing nail
ambulating to the couch,bent knee,2ft balance beam
ambulating to the kitchen,bent knee and rolled ankle,2ft bed
ambulating up stairs,bent knee backwards,2ft ladder
ambulating up steps,bent knee inward,2ft ramp
ambulating up the stairs,bent leg,2ft tall bed
ambulating upstairs,bent nail,2fth bed
ambulating w walker,bent neck,2handed electric saw
ambulating w walker to chair,bent over,2in padded mat
ambulating while wearing her slippers,bent over and lifted,2lb weight
ambulating with a cane,bent over and picked up,2lb wt
ambulating with a cane up a ramp,bent over hitting,2mg ***
ambulating with a walker,bent over hitting head,2mg lorazepam
ambulating with aide help turning corner,bent over lifted,2mg tablet
ambulating with cane,bent over quickly,2nd base
ambulating with cane out of the door,bent over to lift,2nd floor apt window
ambulating with cane stepping up on a step,bent over/squatted,2nd floor balcony
ambulating with crutches,bent ring,2nd floor deck
ambulating with crutches down concrete stairs,bent sideways,2nd floor fire escape
ambulating with her cane,bent thumb,2nd floor landing
ambulating with her roler walker,bent thumb back,2nd floor porch railing
ambulating with her walker,bent thumb backwards,2nd floor window
ambulating with her walker down the driveway to get the mail,bent to lift,2nd floor window screen
ambulating with her walker to the bathroom,bent toe,2nd flr window
"ambulating with her walker, attempting to sit down on a chair",bent toe backward,2nd story balcony
ambulating with his cane,bent toes,2nd story deck
ambulating with his walker,bent twisted,2nd story floor railing
ambulating with rollerwalker,bent wrist,2nd story landing
"ambulating with rollerwalker, throwing something in the trash",bent wrist backwards,"2nd story porch, tree, gravel hillside"
ambulating with the walker,bicycle accident,2nd story railing
ambulating with walker,bicycle collision,2nd story screen window
ambulating with walker at rehab,bicycle crash,2nd story window
ambulating with walker in bathroom,bicycle injury,2step ladder
ambulating with walker picking something up,bicycle versus car,2step step stool
ambulating with walker to bathroom,bicycle versus car accident,2story balcony
ambulating with walker to breakfast,bicycle versus vehicle crash,2story window
ambulating with walker to get to recliner,bicycle vs auto,2x10 board
ambulating without her walker,bicycle vs car,2x10 piece of wood and a ladder
ambulating without his walker,bicycle vs scooter accident,2x4
ambulating without walker,bicycle vs tree,2x4 pallet
ambulating wo her walker,bicycle wreck,2x4 piece of wood
ambulating wo the walker,bicycyle hit water causing pt to flip,2x4 with nail
ambulating wo walker,bike accident,2x4 wood plank
ambulation,bike collision,"2x4, concrete"
amphethamine use,bike crash,2x6
an event where people hit each other with foam swords,bike fell,2x6 board
an open house,bike flew over car,2yr old sibling
anal intercourse,bike flipped,3 cans of ***
anal stimulation,bike flipped over,3 feet deck
anger aggression outburst,bike injury,3 foot bed
anger outburst,bike into guardrail,3 foot deck
angeraggressoin outburst,bike slid,3 foot ladder
angry at girlfriend,bike slid out,3 foot standard bed
angry outburst,bike vs auto,3 foot stool
ankle exercises,bike vs auto accident,3 foot tall brick wall
ankle stretches,bike vs car,3 foot wall
another child bounced on pts chest,bike vs car accident,3 ft bed
another child kicked door open,bike vs mvc,3 ft brick wall
another child pulled on her earring,bike vs taxi accident,3 ft desk
another student lifted up a desk and dropped it on pts arm,bike vs tree,3 ft ladder
another student ran by her,bike vs truck,3 ft ledge
answer phone,bike vs truck accident,3 ft plastic slide
answered door for food tray delivery,bike wreck,3 ft stool
answering a call,biking,3 ft wall
answering cell phone,biking accident,3 ft wooden slide
answering door,bit,3 gallon water drum
answering doorbell,bit and scratched,3 inch blade
answering front door,bit broke,3 inch heels
answering her door,bit by a bug,3 inch hose
answering her phone,bit by a dog,3 inch nail
answering her telephone,bit by bee,3 kids and floor
answering phone,bit by bug,3 lb weight
answering phones,bit by cat,3 person pyramid
answering ringing phone,bit by dog,3 ring binder
answering telephone,bit by fireworks,3 step ladder
answering the door,bit by insect,3 step step stool
answering the doorbell,bit by mosquito,3 step stepstool
answering the phone,bit by something,3 step stool
answering the telephone,bit by spider,3 steps
applied a cock ring onto his penis,bit by spider or tick,3 story balcony
applied adhesive spray prewrap on ankle,bit by ticks,3 story building
applied lotion for eczema,bit down,3 wheel atv
applied soap to his face,bit into,3 wheel scooter
applied them to flank areas using abd binder,bit lip,3 wheel tricycle
applying *** to finger cut,bit off,3 wheeled bike
applying bleach to the area,bit off and swallowed,3 wheeled motorized scooter
applying cosmetics to older brother,bit or scratched,3 wheeled scooter
applying cream,bit through,3 wheeled tourist vehivle
applying emergency brake on golf cart,bit tongue,3 wheeler
applying eyedrops,"bit, injuring himself",3 wheeler atv
applying facial cream,bite,3 wheeler bike
applying foot cream while talking on phone,bites,3 wick candle
applying gel manicure,biting,30 boxls
applying gutter cover,biting nail,30 car battery
applying horseshoes,bitten,30 foot ladder
applying kerosene all over body,bitten and scratched,30 gal water barrel
applying lotion,"bitten, slammed",30 gallon barrels
applying paint,bitting,30 inch box tv
applying paint to chair,black out,30 inch tv
applying retinol to wrinkles,blacked out,30 lb box
applying sexual stimulant,blackedout,30 lb dumbbell
applying siblings sunscreen,blacking out,30 lb safe
applying siding to house,blade broke and flew,30 lb weight
applying sunscreen,blade flew out,30 lb wt
applying tile floor,blade turned,30 lbs bag
approaching door for food delivery,blast injury,30 lbs box
approaching his bed,blasted,30 mg ***
approaching the front door,bleeding,30 mg dx
aqua training exercise,blew,30 mg tablet
arched and threw himself backward flipping the seat,blew air into ear,30 pound dumbbell
archery,blew backwards,30 pound weight
arguing,blew dust,30 pound weights
arguing and punched a door,blew metal particles,300 can filled w apples
arguing on her cell phone,blew something into eye,300 cash register
arguing over a toy with sister,blew up,300 lb mower
arguing over remote control,blew up in face,300 lb pipe
arguing w family,blew up tire,300 pound safe
arguing w family member,blind side hit,300 pound wooden headboard
arguing with a police officer,blindedsided,300 strength pill
arguing with boyfriend,blindsidded,3000 pounds of metal
arguing with brother,blindslide tackle,300lb lineman
arguing with cousin,blinsided,3040lb weight
arguing with family,blinsided hit,30ft cliff
arguing with father,blister,30ft ladder
arguing with friend,blister ripped,30lb box
arguing with girlfriend,blistered,30lb weight
"arguing with girlfriend, took off on a dirtbike",blocked,30lbs
arguing with her father,blocked a ball,30lbs crate
arguing with her friend,blocked a kick,30mg *** pill
"arguing with her husband who was holding a knife, went to grab knife from him",blocked a punch,30mg pill
arguing with her mother,blocked a shot,30pds metal weight
arguing with his gf,blocked ball,32 flat screen tv
arguing with his girlfriend,blocked door,32 inch box television
arguing with his mother and chasing her with an axe,blocked shot,32 oz bottle of *** degrease
arguing with husband,blocked soccer kick,34 ft bed
arguing with mom,blocked with arm,34 full *** bottle
arguing with mother,blocking,34 inch flat screen tv
arguing with mother regarding bedtime,blocking a ball,345lb bar bell
arguing with neighbor,blocking a pass,34ft ladder
arguing with parents,blocking a shot,35 degree slope
arguing with sibling,blocking ball,35 lb dumbbell weight
arguing with significant other,blocking players,35 pound bag
arguing with sister,blocking shot,35 pound barbell
